-T [GEV**2],-T [GEV**2] LOW,-T [GEV**2] HIGH,D(SIG)/DT [MB/GEV**2],error +,error -,"sys,BOLON 67 +","sys,BOLON 67 -"
1.029,0.931,1.127,0.00024959,2.52e-05,-2.52e-05,16.0%,-16.0%
1.4209999999999998,1.3132,1.5288,0.000146,2.382e-05,-2.382e-05,16.0%,-16.0%
2.0139,1.8228,2.205,3.704e-05,5.1271e-06,-5.1271e-06,16.0%,-16.0%
3.0282,2.842,3.2144,1.286e-05,4.5206e-06,-4.5206e-06,16.0%,-16.0%
3.9739000000000004,3.773,4.1748,4.219e-05,9.4538e-06,-9.4538e-06,16.0%,-16.0%

