-T [GEV**2],-T [GEV**2] LOW,-T [GEV**2] HIGH,D(SIG)/DT [MB/GEV**2],error +,error -,"sys,BOLON 67 +","sys,BOLON 67 -"
1.0388,0.9408,1.1368,4.077e-05,3.285e-05,-3.285e-05,16.0%,-16.0%
1.5533000000000001,1.421,1.6856,3.929e-05,7.3753e-06,-7.3753e-06,16.0%,-16.0%
2.0384,1.8424,2.2344,9.6151e-06,2.2699e-06,-2.2699e-06,16.0%,-16.0%
3.0674,2.8224,3.3124,1.213e-07,9.502e-07,-9.502e-07,16.0%,-16.0%
4.0964,3.822,4.3708,9.441e-07,8.342e-07,-8.342e-07,16.0%,-16.0%

