T [GEV**2],POL(NAME=PHOTON),error +,error -
-0.2,0.87,0.08,-0.08
-0.3,0.81,0.09,-0.09
-0.4,0.79,0.085,-0.085
-0.5,0.69,0.11,-0.11
-0.6,0.72,0.06,-0.06
-0.7,0.79,0.11,-0.11
-0.8,0.92,0.07,-0.07
-0.9,0.84,0.09,-0.09
-1.0,0.95,0.07,-0.07
-1.1,0.93,0.07,-0.07
-1.2,0.9,0.06,-0.06
-1.3,0.89,0.06,-0.06
-1.4,0.96,0.055,-0.055

