T [GEV**2],D(SIG)/DT [MUB/GEV**2],error +,error -
-0.7,0.121,0.01,-0.01
-1.0,0.146,0.009,-0.009
-2.0,0.016,0.001,-0.001
-3.0,0.0006,0.0002,-0.0002

