T [GEV**2],D(SIG)/DT [MUB/GEV**2],error +,error -
-0.85,0.037,0.002,-0.002
-1.1,0.027,0.001,-0.001
-1.4,0.014,0.001,-0.001
-2.0,0.0019,0.0002,-0.0002
-2.5,0.00022,8e-05,-8e-05
-3.0,0.00012,6e-05,-6e-05

