T [GEV**2],D(SIG)/DT [MUB/GEV**2],error +,error -
-0.1,0.37,0.05,-0.05
-0.15,0.3,0.04,-0.04
-0.2,0.2,0.03,-0.03
-0.3,0.073,0.013,-0.013
-0.4,0.033,0.006,-0.006
-0.5,0.024,0.004,-0.004
-0.6,0.027,0.006,-0.006
-0.7,0.03,0.003,-0.003
-0.8,0.038,0.003,-0.003
-0.9,0.036,0.003,-0.003
-1.1,0.027,0.002,-0.002
-1.38,0.0161,0.0013,-0.0013

