-T [GEV**2],-T [GEV**2] LOW,-T [GEV**2] HIGH,D(SIG)/DT [MB/GEV**2],error +,error -,"sys,BOLON 67 +","sys,BOLON 67 -"
1.0045000000000002,0.931,1.078,0.00038501,4.85e-05,-4.85e-05,16.0%,-16.0%
1.0927,1.029,1.1564,0.00037862,3.348e-05,-3.348e-05,16.0%,-16.0%
1.9893999999999998,1.813,2.1658,0.00010665,2.518e-05,-2.518e-05,16.0%,-16.0%
2.5186,2.5186,2.5186,1.547e-05,6.9183e-06,-6.9183e-06,16.0%,-16.0%
3.0086000000000004,2.8126,3.2046,2.68e-05,8.5187e-06,-8.5187e-06,16.0%,-16.0%
3.7044,3.7044,3.7044,7.51e-05,2.723e-05,-2.723e-05,16.0%,-16.0%
4.0474,3.9004,4.1944,0.00012863,2.099e-05,-2.099e-05,16.0%,-16.0%

