T [GEV**2],D(SIG)/DT [MUB/GEV**2],error +,error -
-0.15,0.22,0.03,-0.03
-0.2,0.137,0.02,-0.02
-0.3,0.045,0.009,-0.009
-0.4,0.021,0.005,-0.005
-0.5,0.016,0.003,-0.003
-0.6,0.018,0.004,-0.004
-0.7,0.019,0.003,-0.003
-0.8,0.024,0.003,-0.003
-0.9,0.0231,0.0025,-0.0025
-1.1,0.016,0.0013,-0.0013
-1.38,0.0094,0.0009,-0.0009

