T [GEV**2],D(SIG)/DT [MUB/GEV**2],error +,error -
-1.19,0.1842,0.0079,-0.0079
-1.58,0.1029,0.0033,-0.0033
-1.89,0.0401,0.0021,-0.0021
-2.24,0.0159,0.002,-0.002
-2.49,0.00493,0.00071,-0.00071
-2.64,0.00183,0.00062,-0.00062
-2.88,0.00462,0.00051,-0.00051
-3.07,0.00387,0.00041,-0.00041
-3.26,0.00597,0.00043,-0.00043
-3.53,0.00678,0.00077,-0.00077
-4.03,0.00657,0.00048,-0.00048
-4.54,0.00425,0.00104,-0.00104
-5.05,0.00806,0.00163,-0.00163
-5.54,0.0225,0.002,-0.002
-5.98,0.0241,0.002,-0.002

