T [GEV**2],POL(NAME=PHOTON),error +,error -
-0.2,0.91,0.05,-0.05
-0.3,0.83,0.04,-0.04
-0.4,0.77,0.045,-0.045
-0.5,0.69,0.05,-0.05
-0.6,0.78,0.04,-0.04
-0.7,0.82,0.035,-0.035
-0.8,0.79,0.035,-0.035
-0.9,0.93,0.03,-0.03
-1.0,0.82,0.05,-0.05
-1.1,0.88,0.03,-0.03
-1.2,0.91,0.03,-0.03
-1.3,0.96,0.035,-0.035
-1.4,0.99,0.03,-0.03

